partyfacts_id,party_abb_hansard,party_abb_auspol,party_name_auspol
486,LP,LIB,Liberal Party of Australia
486,LIB,LIB,Liberal Party of Australia
424,ALP,ALP,Australian Labor Party
1743,NP,NPA,National Party of Australia
1743,NPA,NPA,National Party of Australia
1743,NATS,NPA,National Party of Australia
1743,Nats,NPA,National Party of Australia
NA,IND,IND,Independent
NA,Ind,IND,Independent
NA,Ind.,IND,Independent
1997,KAP,KAP,Katters Australian Party
NA,UAP,UAP,United Australia Party
1209,AG,GRN,Australian Greens
NA,NatsWA,NATS WA,National Party of Australia (WA)
143,CLP,CLP,Country Liberal Party (Northern Territory)
5453,CA,CA,Centre Alliance
5453,NXT,NXT,Nick Xenophon Team
1996,PUP,PUP,Palmer United Party
285,LNP,NA,Liberal National Party of Queensland
