"","page.no","time.stamp","name","name.id","electorate","party","in.gov","first.speech","text","fedchamb_flag","question","answer","sub1_flag","sub2_flag"
"1",9571,"","Mitchell, Rob (The DEPUTY SPEAKER)","M3E","McEwen","ALP","","","
              ",0,0,0,0,1
"2",9575,"","Mitchell, Rob (The DEPUTY SPEAKER)","M3E","McEwen","ALP","","","
              ",0,0,0,0,1
"3",9580,"","Mitchell, Rob (The DEPUTY SPEAKER)","M3E","McEwen","ALP","","","
              ",0,0,0,0,1
"4",9586,"","Smith, Tony MP (The SPEAKER)","00APG","Casey","LP","","","
            ",0,0,0,1,0
"5",9587,"","Ms Burney interjecting—","","","","","","
            ",0,1,0,1,0
"6",9587,"","Smith, Tony MP (The SPEAKER)","00APG","Casey","LP","","","
            ",0,1,0,1,0
"7",9587,"","Smith, Tony MP (The SPEAKER)","00APG","Casey","LP","","","
            ",0,0,1,1,0
"8",9587,"","Smith, Tony MP (The SPEAKER)","00APG","Casey","LP","","","
            ",0,0,1,1,0
"9",9587,"","Mr Dreyfus interjecting—","","","","","","
            ",0,0,1,1,0
"10",9587,"","Smith, Tony MP (The SPEAKER)","00APG","Casey","LP","","","
            ",0,0,1,1,0
"11",9588,"","Dutton, Peter Craig MP","00AKI","Dickson","LNP","","","
            ",0,1,0,1,0
"12",9588,"","Smith, Tony MP (The SPEAKER)","00APG","Casey","LP","","","
            ",0,1,0,1,0
"13",9588,"","Dutton, Peter Craig MP","00AKI","Dickson","LNP","","","
            ",0,1,0,1,0
"14",9588,"","Smith, Tony MP (The SPEAKER)","00APG","Casey","LP","","","
            ",0,1,0,1,0
"15",9588,"","Smith, Tony MP (The SPEAKER)","00APG","Casey","LP","","","
            ",0,0,1,1,0
"16",9589,"","Smith, Tony MP (The SPEAKER)","00APG","Casey","LP","","","
            ",0,0,1,1,0
"17",9590,"","Smith, Tony MP (The SPEAKER)","00APG","Casey","LP","","","
            ",0,0,1,1,0
"18",9590,"","Mr Jones interjecting—","","","","","","
            ",0,0,1,1,0
"19",9590,"","Smith, Tony MP (The SPEAKER)","00APG","Casey","LP","","","
            ",0,0,1,1,0
"20",9591,"","Smith, Tony MP (The SPEAKER)","00APG","Casey","LP","","","
            ",0,0,1,1,0
"21",9591,"","Mr Joyce interjecting—","","","","","","
            ",0,0,1,1,0
"22",9592,"","Smith, Tony MP (The SPEAKER)","00APG","Casey","LP","","","
            ",0,0,1,1,0
"23",9592,"","Burke, Tony MP","DYW","Watson","ALP","","","
            ",0,0,1,1,0
"24",9592,"","Smith, Tony MP (The SPEAKER)","00APG","Casey","LP","","","
            ",0,0,1,1,0
"25",9592,"","Smith, Tony MP (The SPEAKER)","00APG","Casey","LP","","","
            ",0,0,1,1,0
"26",9593,"","Smith, Tony MP (The SPEAKER)","00APG","Casey","LP","","","
            ",0,0,1,1,0
"27",9593,"","Smith, Tony MP (The SPEAKER)","00APG","Casey","LP","","","
            ",0,0,1,1,0
"28",9593,"","Albanese, Anthony, MP","R36","Grayndler","ALP","","","
            ",0,0,1,1,0
"29",9593,"","Smith, Tony MP (The SPEAKER)","00APG","Casey","LP","","","
            ",0,0,1,1,0
"30",9595,"","Smith, Tony MP (The SPEAKER)","00APG","Casey","LP","","","
            ",0,0,1,1,0
"31",9595,"","Smith, Tony MP (The SPEAKER)","00APG","Casey","LP","","","
            ",0,0,1,1,0
"32",9595,"","Albanese, Anthony, MP","R36","Grayndler","ALP","","","
            ",0,0,1,1,0
"33",9595,"","Smith, Tony MP (The SPEAKER)","00APG","Casey","LP","","","
            ",0,0,1,1,0
"34",9596,"","Albanese, Anthony, MP","R36","Grayndler","ALP","","","
            ",0,0,1,1,0
"35",9596,"","Smith, Tony MP (The SPEAKER)","00APG","Casey","LP","","","
            ",0,0,1,1,0
"36",9601,"","Morrison, Scott MP","E3L","Cook","LP","","","
            ",0,0,1,1,0
"37",9604,"","Mr Dreyfus interjecting—","","","","","","
            ",0,0,0,1,0
"38",9604,"","O'Brien, Llew MP (The DEPUTY SPEAKER)","265991","Wide Bay","LNP","","","
            ",0,0,0,1,0
"39",9605,"","Mr Tim Wilson interjecting—","","","","","","
            ",0,0,0,1,0
"40",9608,"","Dr Webster interjecting—","","","","","","
            ",0,0,0,1,0
"41",9612,"","O'Brien, Llew MP (The DEPUTY SPEAKER)","265991","Wide Bay","LNP","","","
            ",0,0,0,1,0
"42",9630,"","Wilson, Rick MP (The DEPUTY SPEAKER)","198084","O'Connor","LP","","","
              ",0,0,0,0,1
"43",9630,"","Bowen, Chris MP","DZS","McMahon","ALP","","","
              ",0,0,0,0,1
"44",9654,"","Wicks, Lucy Elizabeth MP (The DEPUTY SPEAKER)","241590","Robertson","LP","","","
            ",1,0,0,1,0
"45",9655,"","DEPUTY SPEAKER, The","10000","","","","","
            ",1,0,0,1,0
"46",9664,"","Freelander, Mike MP (The DEPUTY SPEAKER)","265979","Macarthur","ALP","","","
            ",1,0,0,1,0
"47",9666,"","Freelander, Mike MP (The DEPUTY SPEAKER)","265979","Macarthur","ALP","","","
            ",1,0,0,1,0
"48",9674,"","Coulton, Mark Maclean MP (The DEPUTY SPEAKER)","HWN","Parkes","NATS","","","
            ",1,0,0,1,0
